Term	Notes	English	Spanish	German	Dutch
handhelds_gameboy_name		Game Boy	Game Boy	Game Boy	Game Boy
handhelds_gameboy_description		Too bad there aren't any batteries in here..	Qué pena que no hay baterías aquí..	Schade, dass hier keine Batterien drin sind..	Jammer dat er hier geen batterijen in zitten..
handhelds_battery_name		Battery	Batería	Batterie	Batterij
handhelds_battery_description		A double-A battery.	Una batería doble A.	Eine AA-Batterie.	Een AA-batterij.
handhelds_idea_zapper_status		Putting batteries in...	Colocando baterías...	Batterien einsetzen...	Batterijen plaatsen...
handhelds_examplebooster_name		Example Pack	Paquete de ejemplo	Beispielpaket	Voorbeeldpakket
handhelds_zapper_idea_name		Zapper	Zapper	Zapper	Zapper
handhelds_3ds_name		3DS	3DS	3DS	3DS
handhelds_3ds_description		Super 3D!	¡Super 3D!	Super 3D!	Super 3D!
handhelds_switch_name		Switch	Switch	Switch	Switch
handhelds_switch_description		Beware of drift...	Cuidado con el drift...	Achtung vor Drift...	Pas op voor drift...
handhelds_steamdeck_name		Steam Deck	Steam Deck	Steam Deck	Steam Deck
handhelds_steamdeck_description		Wait.. is it playing Stacklands too?!?	Espera.. ¿también está jugando Stacklands?!?	Warte.. spielt es auch Stacklands?!?	Wacht.. speelt het ook Stacklands?!?
handhelds_psp_name		PSP	PSP	PSP	PSP
handhelds_psp_description		Playstation Portable.. more like Playstation's Peak.	Playstation Portable.. más bien el pico de Playstation.	Playstation Portable.. mehr wie Playstations Höhepunkt.	Playstation Portable.. meer zoals Playstations hoogtepunt.
handhelds_playdate_name		Playdate	Playdate	Playdate	Playdate
handhelds_playdate_description		Oddest handheld?	¿El handheld más extraño?	Seltsamster Handheld?	Vreemdste handheld?
